,pdb_name,processed_path,raw_path,oligomeric_count,oligomeric_detail,resolution,structure_method,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,cluster
194,5s9e,/wynton/group/kortemme/alexjli/data/framediff/s9/5s9e.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s9e.cif,1,monomeric,1.18,x-ray diffraction,1,homomer,313,119,0.3109243697478991,0.6890756302521008,0.0,1.611430116278508,384
207,1nze,/wynton/group/kortemme/alexjli/data/framediff/nz/1nze.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/nz/1nze.cif,1,monomeric,1.95,x-ray diffraction,1,homomer,184,112,0.2142857142857142,0.7857142857142857,0.0,1.4518377510371858,52871
209,3nz3,/wynton/group/kortemme/alexjli/data/framediff/nz/3nz3.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/nz/3nz3.cif,1,monomeric,2.0,x-ray diffraction,1,homomer,252,100,0.43,0.0,0.57,2.014270230795426,825905
221,6nzx,/wynton/group/kortemme/alexjli/data/framediff/nz/6nzx.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/nz/6nzx.cif,1,monomeric,1.9,x-ray diffraction,1,homomer,98,76,0.4473684210526316,0.25,0.3026315789473684,1.1583769247021378,803796
224,3nzl,/wynton/group/kortemme/alexjli/data/framediff/nz/3nzl.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/nz/3nzl.cif,1,monomeric,1.199,x-ray diffraction,1,homomer,219,73,0.3287671232876712,0.6712328767123288,0.0,1.2281452827898427,120226
297,5z5v,/wynton/group/kortemme/alexjli/data/framediff/z5/5z5v.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/z5/5z5v.cif,1,monomeric,1.66,x-ray diffraction,1,homomer,269,124,0.4596774193548387,0.5403225806451613,0.0,1.5018405830924686,887100
309,5z5u,/wynton/group/kortemme/alexjli/data/framediff/z5/5z5u.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/z5/5z5u.cif,1,monomeric,1.631,x-ray diffraction,1,homomer,273,124,0.4596774193548387,0.5403225806451613,0.0,1.5018597066426975,869260
312,5z5t,/wynton/group/kortemme/alexjli/data/framediff/z5/5z5t.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/z5/5z5t.cif,1,monomeric,1.991,x-ray diffraction,1,homomer,206,124,0.4838709677419355,0.5161290322580645,0.0,1.4814284245427942,869585
349,6yig,/wynton/group/kortemme/alexjli/data/framediff/yi/6yig.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/yi/6yig.cif,1,monomeric,1.55,x-ray diffraction,1,homomer,198,101,0.396039603960396,0.5643564356435643,0.0396039603960396,1.272578696290595,91105
364,6yil,/wynton/group/kortemme/alexjli/data/framediff/yi/6yil.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/yi/6yil.cif,1,monomeric,1.22,x-ray diffraction,1,homomer,268,113,0.3097345132743362,0.6902654867256637,0.0,1.460954733336187,501
369,5yiu,/wynton/group/kortemme/alexjli/data/framediff/yi/5yiu.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/yi/5yiu.cif,1,monomeric,1.42,x-ray diffraction,1,homomer,99,49,0.3469387755102041,0.6530612244897959,0.0,1.0292425782060308,37789
377,6yim,/wynton/group/kortemme/alexjli/data/framediff/yi/6yim.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/yi/6yim.cif,1,monomeric,1.23,x-ray diffraction,1,homomer,278,114,0.3508771929824561,0.6491228070175439,0.0,1.4608035929813823,501
379,7yis,/wynton/group/kortemme/alexjli/data/framediff/yi/7yis.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/yi/7yis.cif,1,monomeric,3.297,x-ray diffraction,1,homomer,99,98,0.3877551020408163,0.1836734693877551,0.4285714285714285,1.308075254586415,68170
384,6yin,/wynton/group/kortemme/alexjli/data/framediff/yi/6yin.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/yi/6yin.cif,1,monomeric,1.52,x-ray diffraction,1,homomer,200,126,0.4682539682539682,0.5317460317460317,0.0,1.4865371893572457,90
388,7yir,/wynton/group/kortemme/alexjli/data/framediff/yi/7yir.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/yi/7yir.cif,1,monomeric,2.099,x-ray diffraction,1,homomer,136,99,0.2929292929292929,0.2525252525252525,0.4545454545454545,1.296232121538316,68170
404,6ekb,/wynton/group/kortemme/alexjli/data/framediff/ek/6ekb.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/ek/6ekb.cif,1,monomeric,1.91,x-ray diffraction,1,homomer,94,62,0.8064516129032258,0.0,0.1935483870967742,1.400666689848982,36541
416,1ekg,/wynton/group/kortemme/alexjli/data/framediff/ek/1ekg.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/ek/1ekg.cif,1,monomeric,1.8,x-ray diffraction,1,homomer,200,119,0.3949579831932773,0.3193277310924369,0.2857142857142857,1.4037831574294308,7005
429,6ekh,/wynton/group/kortemme/alexjli/data/framediff/ek/6ekh.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/ek/6ekh.cif,1,monomeric,2.65,x-ray diffraction,1,homomer,126,121,0.3471074380165289,0.4297520661157025,0.2231404958677686,1.3178841095467748,54515
431,6ekg,/wynton/group/kortemme/alexjli/data/framediff/ek/6ekg.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/ek/6ekg.cif,1,monomeric,1.15,x-ray diffraction,1,homomer,258,121,0.2892561983471074,0.4793388429752066,0.2314049586776859,1.3433158919833714,54515
441,1ekl,/wynton/group/kortemme/alexjli/data/framediff/ek/1ekl.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/ek/1ekl.cif,1,monomeric,1.65,x-ray diffraction,1,homomer,127,66,0.5454545454545454,0.1969696969696969,0.2575757575757575,1.0886677746769782,1992
445,3ekc,/wynton/group/kortemme/alexjli/data/framediff/ek/3ekc.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/ek/3ekc.cif,1,monomeric,1.8,x-ray diffraction,1,homomer,224,100,0.5,0.0,0.5,1.4546139346700502,2
486,1zlb,/wynton/group/kortemme/alexjli/data/framediff/zl/1zlb.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/zl/1zlb.cif,1,monomeric,0.97,x-ray diffraction,1,homomer,381,122,0.4180327868852459,0.4918032786885246,0.0901639344262295,1.493401579612786,19519
512,1zlm,/wynton/group/kortemme/alexjli/data/framediff/zl/1zlm.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/zl/1zlm.cif,1,monomeric,1.07,x-ray diffraction,1,homomer,188,58,0.4482758620689655,0.0517241379310344,0.5,1.1224232695631462,105437
527,1zld,/wynton/group/kortemme/alexjli/data/framediff/zl/1zld.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/zl/1zld.cif,1,monomeric,1.65,x-ray diffraction,1,homomer,210,102,0.4019607843137255,0.0392156862745098,0.5686274509803921,1.4088434888891173,105185
545,1xte,/wynton/group/kortemme/alexjli/data/framediff/xt/1xte.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/xt/1xte.cif,1,monomeric,1.6,x-ray diffraction,1,homomer,265,116,0.3103448275862069,0.4137931034482758,0.2758620689655172,1.5044740640745178,830634
555,4xtb,/wynton/group/kortemme/alexjli/data/framediff/xt/4xtb.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/xt/4xtb.cif,1,monomeric,1.37,x-ray diffraction,1,homomer,253,109,0.5229357798165137,0.1834862385321101,0.2935779816513761,1.4945676845600142,28443
590,1oj1,/wynton/group/kortemme/alexjli/data/framediff/oj/1oj1.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/oj/1oj1.cif,1,monomeric,2.1,x-ray diffraction,1,homomer,214,104,0.4519230769230769,0.173076923076923,0.3846153846153846,1.421819395306385,114212
615,2oj4,/wynton/group/kortemme/alexjli/data/framediff/oj/2oj4.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/oj/2oj4.cif,1,monomeric,2.3,x-ray diffraction,1,homomer,189,127,0.3228346456692913,0.6771653543307087,0.0,1.5800561543023093,481381
621,2ojr,/wynton/group/kortemme/alexjli/data/framediff/oj/2ojr.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/oj/2ojr.cif,1,monomeric,2.6,x-ray diffraction,1,homomer,129,110,0.5727272727272728,0.1636363636363636,0.2636363636363636,1.595012577387998,476652
651,3gbl,/wynton/group/kortemme/alexjli/data/framediff/gb/3gbl.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/gb/3gbl.cif,1,monomeric,2.0,x-ray diffraction,1,homomer,292,97,0.4536082474226804,0.0,0.5463917525773195,1.4629841722717445,91696
688,4gb0,/wynton/group/kortemme/alexjli/data/framediff/gb/4gb0.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/gb/4gb0.cif,1,monomeric,2.6,x-ray diffraction,1,homomer,98,91,0.4285714285714285,0.4615384615384615,0.1098901098901098,1.3558855375810508,3470
703,6gbi,/wynton/group/kortemme/alexjli/data/framediff/gb/6gbi.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/gb/6gbi.cif,1,monomeric,1.25,x-ray diffraction,1,homomer,202,104,0.5576923076923077,0.0961538461538461,0.3461538461538461,1.393187686594808,80957
705,2gb2,/wynton/group/kortemme/alexjli/data/framediff/gb/2gb2.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/gb/2gb2.cif,1,monomeric,1.25,x-ray diffraction,1,homomer,257,105,0.5238095238095238,0.0285714285714285,0.4476190476190476,1.3007084064246617,1901
715,2gbn,/wynton/group/kortemme/alexjli/data/framediff/gb/2gbn.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/gb/2gbn.cif,1,monomeric,1.6,x-ray diffraction,1,homomer,164,81,0.4567901234567901,0.2345679012345679,0.3086419753086419,1.2000235831294217,116361
723,2gba,/wynton/group/kortemme/alexjli/data/framediff/gb/2gba.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/gb/2gba.cif,1,monomeric,0.92,x-ray diffraction,1,homomer,291,105,0.5047619047619047,0.0285714285714285,0.4666666666666667,1.3132151618046513,1901
743,3d76,/wynton/group/kortemme/alexjli/data/framediff/d7/3d76.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/d7/3d76.cif,1,monomeric,1.9,x-ray diffraction,1,homomer,254,116,0.3620689655172414,0.6206896551724138,0.0172413793103448,1.3674195009978525,3997
747,5d75,/wynton/group/kortemme/alexjli/data/framediff/d7/5d75.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/d7/5d75.cif,1,monomeric,1.83,x-ray diffraction,1,homomer,229,120,0.55,0.0833333333333333,0.3666666666666666,1.4580833616349518,32224
766,3d75,/wynton/group/kortemme/alexjli/data/framediff/d7/3d75.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/d7/3d75.cif,1,monomeric,2.3,x-ray diffraction,1,homomer,174,117,0.3504273504273504,0.6324786324786325,0.017094017094017,1.3320464055484529,3997
770,5d7x,/wynton/group/kortemme/alexjli/data/framediff/d7/5d7x.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/d7/5d7x.cif,1,monomeric,1.35,x-ray diffraction,1,homomer,350,115,0.3565217391304348,0.6434782608695652,0.0,1.5371929258428931,1165
783,5d77,/wynton/group/kortemme/alexjli/data/framediff/d7/5d77.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/d7/5d77.cif,1,monomeric,1.3,x-ray diffraction,1,homomer,137,82,0.4268292682926829,0.2317073170731707,0.3414634146341463,1.2120042525028227,79514
784,1d7e,/wynton/group/kortemme/alexjli/data/framediff/d7/1d7e.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/d7/1d7e.cif,1,monomeric,1.39,x-ray diffraction,1,homomer,272,120,0.3416666666666667,0.3583333333333333,0.2916666666666667,1.3493785384457735,554
790,3d77,/wynton/group/kortemme/alexjli/data/framediff/d7/3d77.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/d7/3d77.cif,1,monomeric,1.7,x-ray diffraction,1,homomer,239,116,0.3793103448275862,0.603448275862069,0.0172413793103448,1.3617767732309314,3997
797,5d78,/wynton/group/kortemme/alexjli/data/framediff/d7/5d78.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/d7/5d78.cif,1,monomeric,1.25,x-ray diffraction,1,homomer,183,81,0.382716049382716,0.2839506172839506,0.3333333333333333,1.2501360642221986,79514
848,6y7l,/wynton/group/kortemme/alexjli/data/framediff/y7/6y7l.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/y7/6y7l.cif,1,monomeric,1.8,x-ray diffraction,1,homomer,184,113,0.3628318584070796,0.6371681415929203,0.0,1.459699730990532,1311
852,6y7k,/wynton/group/kortemme/alexjli/data/framediff/y7/6y7k.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/y7/6y7k.cif,1,monomeric,1.2,x-ray diffraction,1,homomer,322,114,0.3684210526315789,0.631578947368421,0.0,1.5444357719840354,1311
874,1skj,/wynton/group/kortemme/alexjli/data/framediff/sk/1skj.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/sk/1skj.cif,1,monomeric,2.4,x-ray diffraction,1,homomer,164,102,0.5196078431372549,0.1568627450980392,0.3235294117647059,1.3854687941779738,1101
900,2vqk,/wynton/group/kortemme/alexjli/data/framediff/vq/2vqk.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/vq/2vqk.cif,1,monomeric,4.2,x-ray diffraction,1,homomer,81,72,0.2638888888888889,0.6944444444444444,0.0277777777777777,1.330503979414079,36218
903,2vq8,/wynton/group/kortemme/alexjli/data/framediff/vq/2vq8.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/vq/2vq8.cif,1,monomeric,1.35,x-ray diffraction,1,homomer,288,128,0.4609375,0.1875,0.3515625,1.4877329982444458,57545
909,2vqc,/wynton/group/kortemme/alexjli/data/framediff/vq/2vqc.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/vq/2vqc.cif,1,monomeric,2.3,x-ray diffraction,1,homomer,95,70,0.2571428571428571,0.5714285714285714,0.1714285714285714,1.157439067486577,629072
914,3vqf,/wynton/group/kortemme/alexjli/data/framediff/vq/3vqf.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/vq/3vqf.cif,1,monomeric,1.199,x-ray diffraction,1,homomer,266,85,0.4705882352941176,0.1764705882352941,0.3529411764705882,1.2702903237736265,79536
917,2vq4,/wynton/group/kortemme/alexjli/data/framediff/vq/2vq4.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/vq/2vq4.cif,1,monomeric,1.25,x-ray diffraction,1,homomer,316,106,0.4433962264150943,0.0283018867924528,0.5283018867924528,1.4101757773864232,17609
921,2vq9,/wynton/group/kortemme/alexjli/data/framediff/vq/2vq9.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/vq/2vq9.cif,1,monomeric,1.85,x-ray diffraction,1,homomer,210,123,0.3658536585365853,0.2113821138211382,0.4227642276422764,1.4597835608843797,102338
932,7vql,/wynton/group/kortemme/alexjli/data/framediff/vq/7vql.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/vq/7vql.cif,1,monomeric,1.75,x-ray diffraction,1,homomer,155,115,0.3565217391304348,0.4,0.2434782608695652,1.3711311946189424,121695
944,7vqv,/wynton/group/kortemme/alexjli/data/framediff/vq/7vqv.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/vq/7vqv.cif,1,monomeric,1.53,x-ray diffraction,1,homomer,182,115,0.3739130434782609,0.391304347826087,0.2347826086956521,1.4276508456998518,121695
970,1alc,/wynton/group/kortemme/alexjli/data/framediff/al/1alc.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/al/1alc.cif,1,monomeric,1.7,x-ray diffraction,1,homomer,273,122,0.4508196721311475,0.4508196721311475,0.0983606557377049,1.500536156262086,9923
1001,7al0,/wynton/group/kortemme/alexjli/data/framediff/al/7al0.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/al/7al0.cif,1,monomeric,2.2,x-ray diffraction,1,homomer,52,39,0.2307692307692307,0.7692307692307693,0.0,1.7173067467717733,563585
1029,7alj,/wynton/group/kortemme/alexjli/data/framediff/al/7alj.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/al/7alj.cif,1,monomeric,1.52,x-ray diffraction,2,heteromer,220,115,0.5826086956521739,0.0695652173913043,0.3478260869565217,2.573706999189496,578777
1048,1kdi,/wynton/group/kortemme/alexjli/data/framediff/kd/1kdi.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/kd/1kdi.cif,1,monomeric,1.8,x-ray diffraction,1,homomer,141,102,0.5196078431372549,0.1176470588235294,0.3627450980392157,1.2970799620595277,29029
1054,4kdw,/wynton/group/kortemme/alexjli/data/framediff/kd/4kdw.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/kd/4kdw.cif,1,monomeric,1.35,x-ray diffraction,1,homomer,250,102,0.3725490196078431,0.0980392156862745,0.5294117647058824,1.4170479970737322,122404
1068,4kdv,/wynton/group/kortemme/alexjli/data/framediff/kd/4kdv.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/kd/4kdv.cif,1,monomeric,2.42,x-ray diffraction,1,homomer,173,102,0.3725490196078431,0.0980392156862745,0.5294117647058824,1.3850699195001406,122404
1069,1kdj,/wynton/group/kortemme/alexjli/data/framediff/kd/1kdj.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/kd/1kdj.cif,1,monomeric,1.7,x-ray diffraction,1,homomer,152,102,0.5196078431372549,0.1176470588235294,0.3627450980392157,1.2967130899640953,29029
1084,7kdz,/wynton/group/kortemme/alexjli/data/framediff/kd/7kdz.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/kd/7kdz.cif,1,monomeric,1.54,x-ray diffraction,1,homomer,187,105,0.3047619047619048,0.6952380952380952,0.0,1.4148111881037044,1795
1087,5kdh,/wynton/group/kortemme/alexjli/data/framediff/kd/5kdh.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/kd/5kdh.cif,1,monomeric,1.5,x-ray diffraction,1,homomer,227,127,0.4488188976377952,0.5511811023622047,0.0,1.5179354278597588,90
1097,1eic,/wynton/group/kortemme/alexjli/data/framediff/ei/1eic.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/ei/1eic.cif,1,monomeric,1.0,x-ray diffraction,1,homomer,344,124,0.4354838709677419,0.2096774193548387,0.3548387096774194,1.644101113809799,130
